0.000000, 18564.091028
0.006000, 18567.174402
0.008800, 18587.657946
0.014800, 18590.687548
0.093800, 18804.434081
0.099800, 18813.356075
0.102600, 18834.236435
0.108600, 18837.700873
0.949600, 21311.335107
0.955600, 21396.985303
0.958400, 21427.151081
0.964400, 21433.929277
1.043400, 21724.063080
1.049400, 21738.842669
1.052200, 21769.248366
1.058200, 21775.989908
1.938000, 25389.771322
1.944000, 25566.827602
1.946800, 25624.588579
1.952800, 25646.857992
2.031800, 26084.064115
2.037800, 26119.081917
2.040600, 26175.079539
2.046600, 26194.868728
2.495000, 28585.551291
2.501000, 28567.797496
2.503800, 28626.909562
2.509800, 28641.726031
2.588800, 29173.407906
2.594800, 29209.702192
2.597600, 29271.012116
2.603600, 29289.863644
2.887600, 31108.778070
2.893600, 31351.860059
2.896400, 31462.945672
2.902400, 31526.313837
2.981400, 32083.934389
2.987400, 32160.192939
2.990200, 32259.267457
2.996200, 32312.708106
3.444600, 34432.276221
3.450600, 34732.947249
3.453400, 34855.259117
3.459400, 34923.016760
3.538400, 35486.677620
3.544400, 35551.320260
3.547200, 35628.606994
3.553200, 35666.260907
3.616600, 35493.871929
3.622600, 36017.819763
3.625400, 36074.581099
3.631400, 36098.473791
3.710400, 36439.355442
3.716400, 36468.492695
3.719200, 36508.308100
3.725200, 36523.204174
4.433000, 37769.783415
4.439000, 37996.462356
4.441800, 37974.689234
4.447800, 37953.886449
4.526800, 37984.572128
4.532800, 37967.357304
4.535600, 37951.853138
4.541600, 37934.902208
4.566200, 37920.898558
4.572200, 38030.909729
4.575000, 37998.809389
4.581000, 37974.460143
4.660000, 37956.616988
4.666000, 37938.127988
4.668800, 37919.934679
4.674800, 37902.995861
5.382600, 37375.893331
5.388600, 37423.181023
5.391400, 37394.943458
5.397400, 37377.563007
5.476400, 37229.259241
5.482400, 37213.700862
5.485200, 37187.295986
5.491200, 37174.571266
5.554600, 36717.140344
5.560600, 36812.045935
5.563400, 36814.258211
5.569400, 36823.865915
5.648400, 36632.558244
5.654400, 36639.549653
5.657200, 36630.419639
5.663200, 36635.038771
6.111600, 35022.407214
6.117600, 35064.937569
6.120400, 35013.674985
6.126400, 34998.009657
6.205400, 34659.133329
6.211400, 34659.890054
6.214200, 34635.124493
6.220200, 34638.848727
6.504200, 33658.754713
6.510201, 33755.529919
6.513000, 33845.077804
6.519001, 33935.289499
6.598001, 33655.266718
6.604001, 33720.818008
6.606801, 33750.667441
6.612801, 33798.983734
7.061200, 31480.101828
7.067200, 31575.123684
7.070000, 31672.188645
7.076000, 31768.350735
7.155000, 31530.916938
7.161000, 31606.257141
7.163800, 31643.812125
7.169800, 31699.164600
8.049601, 28693.345033
8.055600, 28812.665782
8.058400, 28945.207587
8.064401, 29070.186099
8.143400, 28863.136126
8.149401, 28960.343951
8.152201, 29018.546328
8.158200, 29092.498903
8.999201, 26121.510754
9.005200, 26254.450906
9.008000, 26394.211855
9.014001, 26527.818943
9.093000, 26329.824392
9.099001, 26434.182245
9.101801, 26501.171603
9.107800, 26583.981888
