0.000000, 1109.956340
8.060000, 8143.106994
16.000000, 12137.326173
24.059999, 14254.906753
31.600000, 15414.761838
39.660000, 16149.966921
47.599998, 16636.234637
55.660000, 16972.390555
61.900000, 17175.389246
69.959999, 17364.781144
77.900002, 17513.969676
85.959999, 17631.871465
93.500000, 17723.530067
101.559998, 17802.264476
109.500000, 17868.148607
117.559998, 17924.067112
127.000000, 17982.053592
135.059998, 18020.992589
143.000000, 18056.132754
151.059998, 18087.191711
158.600006, 18114.060579
166.660004, 18138.274227
174.600006, 18160.229659
182.660004, 18180.363099
188.899994, 18195.127889
196.959991, 18212.189444
204.899994, 18227.119830
212.959991, 18241.580115
220.500000, 18253.705876
228.559998, 18266.259123
236.500000, 18277.261995
244.559998, 18287.902003
255.000000, 18301.963847
263.059998, 18309.577007
271.000000, 18317.804198
279.059998, 18325.639181
286.600006, 18332.602248
294.660004, 18339.379761
302.600006, 18345.850828
310.660004, 18352.098420
316.899994, 18357.259538
324.959991, 18362.060019
332.899994, 18367.603728
340.959991, 18372.619538
348.500000, 18376.847530
356.559998, 18381.524896
364.500000, 18385.623946
372.559998, 18390.102343
382.000000, 18394.241081
390.059998, 18398.370419
398.000000, 18401.595733
406.059998, 18405.560681
413.600006, 18408.450224
421.660004, 18411.903963
429.600006, 18414.399156
437.660004, 18417.905265
443.899994, 18419.917862
451.959991, 18422.770464
459.899994, 18424.824650
467.959991, 18428.002119
475.500000, 18429.810519
483.559998, 18432.317209
491.500000, 18434.563357
499.559998, 18436.826150
1000000.000000, 18562.355820
