0.000000, 1109.956340, -42.038798, -42.038798
8.060000, 8143.106994, -52.191838, 127.808162
16.000000, 12137.326173, -37.801971, 142.198029
24.059999, 14254.906753, -29.173864, 150.826136
31.600000, 15414.761838, -23.722866, 156.277134
39.660000, 16149.966921, -19.827255, 160.172745
47.599998, 16636.234637, -16.971342, 163.028658
55.660000, 16972.390555, -14.819214, 165.180786
61.900000, 17175.389246, -13.404668, 166.595332
69.959999, 17364.781144, -12.064823, 167.935177
77.900002, 17513.969676, -10.928304, 169.071696
85.959999, 17631.871465, -9.990004, 170.009996
93.500000, 17723.530067, -9.221517, 170.778483
101.559998, 17802.264476, -8.555261, 171.444739
109.500000, 17868.148607, -7.970153, 172.029847
117.559998, 17924.067112, -7.459699, 172.540301
127.000000, 17982.053592, -6.902200, 173.097800
135.059998, 18020.992589, -6.541038, 173.458962
143.000000, 18056.132754, -6.195983, 173.804017
151.059998, 18087.191711, -5.884894, 174.115106
158.600006, 18114.060579, -5.613115, 174.386885
166.660004, 18138.274227, -5.361827, 174.638173
174.600006, 18160.229659, -5.130007, 174.869993
182.660004, 18180.363099, -4.916481, 175.083519
188.899994, 18195.127889, -4.751028, 175.248972
196.959991, 18212.189444, -4.576303, 175.423697
204.899994, 18227.119830, -4.406090, 175.593910
212.959991, 18241.580115, -4.250991, 175.749009
220.500000, 18253.705876, -4.106700, 175.893300
228.559998, 18266.259123, -3.974766, 176.025234
236.500000, 18277.261995, -3.845498, 176.154502
244.559998, 18287.902003, -3.728641, 176.271359
255.000000, 18301.963847, -3.561995, 176.438005
263.059998, 18309.577007, -3.478394, 176.521606
271.000000, 18317.804198, -3.379044, 176.620956
279.059998, 18325.639181, -3.289343, 176.710657
286.600006, 18332.602248, -3.203044, 176.796956
294.660004, 18339.379761, -3.124579, 176.875421
302.600006, 18345.850828, -3.045132, 176.954868
310.660004, 18352.098420, -2.972880, 177.027120
316.899994, 18357.259538, -2.911975, 177.088025
324.959991, 18362.060019, -2.848005, 177.151995
332.899994, 18367.603728, -2.784365, 177.215635
340.959991, 18372.619538, -2.722310, 177.277690
348.500000, 18376.847530, -2.666224, 177.333776
356.559998, 18381.524896, -2.609819, 177.390181
364.500000, 18385.623946, -2.557759, 177.442241
372.559998, 18390.102343, -2.504511, 177.495489
382.000000, 18394.241081, -2.442903, 177.557097
390.059998, 18398.370419, -2.398736, 177.601264
398.000000, 18401.595733, -2.354531, 177.645469
406.059998, 18405.560681, -2.310445, 177.689555
413.600006, 18408.450224, -2.271515, 177.728485
421.660004, 18411.903963, -2.231257, 177.768743
429.600006, 18414.399156, -2.191870, 177.808130
437.660004, 18417.905265, -2.154999, 177.845001
443.899994, 18419.917862, -2.124374, 177.875626
451.959991, 18422.770464, -2.091294, 177.908706
459.899994, 18424.824650, -2.056947, 177.943053
467.959991, 18428.002119, -2.024954, 177.975046
475.500000, 18429.810519, -1.993068, 178.006932
483.559998, 18432.317209, -1.964777, 178.035223
491.500000, 18434.563357, -1.933935, 178.066065
499.559998, 18436.826150, -1.906473, 178.093527
1000000.000000, 18562.355820, -42.038798, 179.829774
